Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
SONACOMS,2023-06-26,498.21,507.52,498.17,505.91,1286593,0.592,-0.027619,0,0.9315,1,0.015455,0.003182,7.9e-05,0.025891,1.242,0,0.1514,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-27,509.38,511.83,506.1,509.33,802623,0.3691,-0.022973,0,0.3435,-1,9.8e-05,0.00481,0.006342,0.032706,0.7769,0,0.1717,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-28,513.11,519.13,502.82,504.48,1842935,0.8458,-0.001208,0,-0.4818,-1,0.016819,0.011933,0.003291,0.053208,1.7301,0,0.1633,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-30,507.95,508.94,499.31,506.92,1292014,0.5928,-0.020329,0,0.249,-1,0.002028,0.001953,0.015012,0.030771,1.0963,0,0.1654,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-07-03,507.12,511.0,505.15,505.94,788224,0.3617,-0.032733,0,-0.0859,-1,0.002327,0.007669,0.001561,0.047593,0.6555,0,0.1819,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-07-04,507.41,507.9,499.7,501.07,776522,0.3561,-0.054256,0,-0.477,-1,0.012495,0.000978,0.002734,0.02377,0.7056,0,0.1905,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-07-05,502.16,508.3,500.24,506.87,866807,0.3972,-0.027187,0,0.6021,1,0.009379,0.002821,0.003788,0.015465,0.7786,0,0.1696,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-07-06,506.87,517.88,506.87,514.88,1385717,0.6339,-0.008624,0,0.8126,1,0.015803,0.005827,0.0,0.034576,1.3561,0,0.1601,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-07-07,518.86,530.65,514.98,526.04,3616985,1.6458,0.014771,0,1.1051,1,0.013838,0.008764,0.007376,0.02585,2.4326,0,0.1103,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-07-10,527.9,534.44,522.79,525.05,2035474,0.9234,0.019809,0,-0.0951,-1,0.005399,0.012456,0.004304,0.036761,1.1723,0,0.1838,0,0,0.0,0.0,NO_SIGNAL
